127.0.0.1 - - [03/Jan/2021:11:49:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:17 +0530] "GET /Total/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:22 +0530] "GET /Total/First.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:28 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:47 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:48 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:49 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:49 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:50 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:49:51 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [03/Jan/2021:11:50:01 +0530] "GET /Total/Second.jsp? HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:37:24 +0530] "GET /Total/First.jsp HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:37:27 +0530] "GET /Total/Second.jsp?Value=ad HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:37:35 +0530] "GET /Total/First.jsp HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:37:38 +0530] "GET /Total/Second.jsp?Value=sa HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [03/Jan/2021:13:29:16 +0530] "GET /Total/First.jsp HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [03/Jan/2021:13:29:20 +0530] "GET /Total/Second.jsp?Value=ew HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [03/Jan/2021:13:30:20 +0530] "GET /Total/Second.jsp?Value=ew HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jan/2021:13:30:29 +0530] "GET /Total/Second.jsp?Value=ew HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [03/Jan/2021:15:37:05 +0530] "GET /Total/First.jsp HTTP/1.1" 200 839
